<story>NULL</story>
<start>20080815030010.286</start>
<end>20080815035957.500</end>
Russian forces | keeping | their grip 
Shannon | might know | a bit 
gymnasts | especially | women 
they | do tend to change | people who train extremely hard , gymnasts especially women , they hormonal concentrations 
They | tend to suppress | estrogen 
the estrogen production | may slow | the overall aging process 
they | seem | age 
the hips | get | a pretty good idea 
a North Korean gymnast | lied | her age 
She | claimed to be | 15 which 
that time | was | the range limit 
she | was actually | age 
that something | was right | a North Korean gymnast who lied about her age 
the time that something was n't right with her | was | kind of a story 
She | did keep | an Olympic medals 
she | was | the best athlete 
She | deserved | the gold medal 
one of those things | 're going to have | that rule 
they | not won | the gold medal 
the same time | 've got | other countries 
other countries | knows | this point 
The USA | had | some major mistakes 
the same time | have | the three girls 
scrutiny | being | age 
the age of an 11-year-old | is really | they 
some of these girls | are | age 
a couple of the three girls that are considered under age or under scrutiny for being under age | had n't heard | before 
They | 're | the scene 
the three girls that are considered under age or under scrutiny for being under age international experience | 're going to be | the Chinese Olympic team 
any experience | to back | the three girls that are considered under age or under scrutiny for being under age 
they | doing | the girls that look so young but also did n't have any experience to back them up bodies 
Your bones | start to | fuse 
these things | called | the growth plates 
they | 're not fully developed | a younger age 
a lot of wear | tear | those growth plates 
your body overall | can have | long-term repercussions 
A lot of people | weighing | the blog ac360 
She | was also | part 
we | 're sort of obsessed | The secret life of Julia Child ; new details just ahead . 
we | have | that picture 
We | 'll take | look 
whatever | want to call | Yeti 
she | mastered | the secrets of French cooking 
Julia Child | mastered | the secrets 
Declassified reports | released | today 
Child | worked | the Office of Strategic Services 
We | had heard | reports 
she | had worked | the OSS 
Welcome | to | The French Chef 
Best | known | Julia Child cooking show 
America's first TV chef | was | specialties 
she | fell | love 
explosives | aimed | German 
Part of Julia's responsibilities | was to assign | names 
various teams | were being sent | enemy lines 
She | chose | the names of fruits 
all food | related | which 
a hint | to where | PINCK true talents 
She | remembers | those fruity names 
She | used to have | great fun 
Team Walnut | is now | Burma 
The national archives | released | the personnel files of nearly 24,000 OSS operatives 
a World War II spy ring | reads | a 
Supreme Court Justice Arthur Goldberg and white sox catcher Mo Berg | spoke | not only German but Japanese 
actor Sterling Hayden | known | his role 
The Godfather | was said to be | one of the toughest spies 
The OSS | recruited | everywhere 
Marlena Dietrich | worked | the OSS 
which | earned | everywhere 
many of the former spies | kept | many of the former spies days 
She | met | Julia Child husband 
The two later | transferred | China 
the secret agency | were never | Julia Child heart 
She | gave | PINCK kitchen 
they | were going | the drawers 
they | found | some OSS paraphernalia 
the OSS | may have been | a mirror 
He | told | me 
hers more than 40 years first reaction | was | she 
He | said | he 
she | talked | his wife husband's time 
the State Department | said | she 
the voice | have trying to be | a spy 
they | released | those records 
We | 'll be coming | those 
apparently these journalists | came | fire 
the tape | is just now making | its way 
that car | was hit | the eye 
we | did learn | that all the journalists 
foreclosure | jumped | 55 percent 
last month | 's compared | the same 
Nevada and Florida | were | some of the hardest hit states 
Ed McMahon | facing | foreclosure 
thanks | to help | another celebrity 
Donald Trump | plans to buy | McMahon's Beverly Hills home 
he | will then lease | McMahon 's Beverly Hills home for an undisclosed amount 
San Jose State University | has announced | the winners of its annual bad writing contest 
Participants | are told to do | Participants very best 
The top writer | takes home | a cool $ 250 
We | thought | we 
our crews | share | the winning work 
viewers | to show | our staffers 
Theirs | was | a New York love 
their passion | was | open 
Steam | rising | their bodies 
slick streets | exhaling | warm moist white breath 
manhole | covers stamped | the Delaney brothers 
We | have | the `` Beat 360 '' winner 
Frank | should do | those 
He | was doing | a good job of Frank 
Our intern | came | a quote 
Our intern | was | Van 
your `` Beat 360 '' T-shirt | is | the way 
Everyone | knows | the Big Foot or Sasquatch 
we | have | that picture 
His body | is stuffed | a freezer 
the stuff | is | the bottom of the picture 
which | looked | they 
we | 're told | is 7 ' 7 '' inches 
the guys | are taking | credit 
Two | are | Georgia and hunt Big Foot 
The third | is described | a world famous Big Foot hunter 
they | found | Sasquatch 
they | saw | several similar creatures 
They | claim | they 
CNN's | going to cover | CNN 
a very good friend | does go | on Big Foot 
a very good friend who very seriously does go out on Big Foot hunts | to prove | the existence 
He | could either be excited | he 
