"","PHRASE_STUB","PHRASE","ORIGINALPHRASE","WORDS","ALPHA","BETA","DEM_COUNT","REP_COUNT","slant","Rshare"
"41","arcticrefuge","arctic refuge","arctic refuge",2,0.0008778,-0.0009479,139,8,-131,0.054421768707483
"42","arcticwildliferefuge","arctic wildlife refuge","arctic wildlife refuge",3,0.0003164,-0.00041,45,2,-43,0.0425531914893617
"43","armembargo","arm embargo","arms embargo",2,-3.29e-05,0.0009054,7,37,30,0.840909090909091
"44","armembargochina","arm embargo china","arms embargo against china",3,-3.77e-05,0.0002773,0,12,12,1
"45","armeniangenocide","armenian genocide","armenian genocide",2,0.0026006,-0.0027991,111,25,-86,0.183823529411765
"46","armoredcavalryregime","armored cavalry regiment","armored cavalry regiment",3,-0.0001372,0.0006907,27,3,-24,0.1
"47","asianamerican","asian american","asian american",2,0.0029666,-0.0045384,112,6,-106,0.0508474576271186
"48","asianamericanpacific","asian american pacific","asian american and pacific",3,0.0005963,-0.0009564,33,1,-32,0.0294117647058824
"49","asianpacific","asian pacific","asian pacific",2,0.0052913,-0.0075747,173,11,-162,0.0597826086956522
"50","asianpacificamerican","asian pacific american","asian pacific american",3,0.0037142,-0.0054143,103,6,-97,0.055045871559633
"51","asianpacificislander","asian pacific islander","asian and pacific islander",3,0.0010819,-0.0016945,53,1,-52,0.0185185185185185
"52","assaultweapon","assault weapon","assault weapons",2,0.0006477,-0.0008028,108,2,-106,0.0181818181818182
"53","assaultweaponban","assault weapon ban","assault weapons ban",3,0.0001745,-0.0001674,37,2,-35,0.0512820512820513
"54","assistantsecretary","assistant secretary","assistant secretary",2,-3.95e-05,0.0028516,83,168,85,0.669322709163347
"55","assistantsecretaryco","assistant secretary commerce","assistant secretary of commerce",3,-7.9e-06,6.03e-05,0,13,13,1
"56","atomicenergyagency","atomic energy agency","atomic energy agency",3,0.0001218,0.000532,12,38,26,0.76
"57","aymanalzawahiri","ayman al zawahiri","ayman al zawahiri",3,-6.92e-05,0.0003461,1,14,13,0.933333333333333
"58","backgroundchecksyste","background check system","background check system",3,0.0001971,-0.0001951,21,2,-19,0.0869565217391304
"59","baddeal","bad deal","bad deal",2,0.0010134,-0.0014828,47,2,-45,0.0408163265306122
"60","bankinghousingurban","banking housing urban","banking housing and urban",3,-0.0002342,0.0010118,14,68,54,0.829268292682927
"61","bankruptcycourt","bankruptcy court","bankruptcy court",2,0.0008363,-0.0005332,213,78,-135,0.268041237113402
"62","bankruptcyreform","bankruptcy reform","bankruptcy reform",2,-0.0005057,0.0018399,57,114,57,0.666666666666667
"63","bankruptcyreformact","bankruptcy reform act","bankruptcy reform act",3,-1.05e-05,9.67e-05,1,19,18,0.95
"64","baseclosing","base closing","base closing",2,-9.9e-06,0.0021382,17,69,52,0.802325581395349
"65","basicright","basic right","basic rights",2,-0.0001912,0.0011739,61,10,-51,0.140845070422535
"66","belowpovertyline","below poverty line","below the poverty line",3,0.0011796,-0.0018511,55,4,-51,0.0677966101694915
"67","benefitcut","benefit cut","benefit cuts",2,0.0016689,-0.0014688,176,53,-123,0.231441048034935
"68","benefitsocialsecurit","benefit social security","benefits of social security",3,0.0009212,-0.0009152,81,29,-52,0.263636363636364
"69","bidcontract","bid contract","bid contracts",2,0.0008426,-0.0010294,95,16,-79,0.144144144144144
"70","bilcut","bil cut","bill cuts",2,0.0032361,-0.0025329,206,20,-186,0.0884955752212389
"71","bilfail","bil fail","bill fails",2,9.09e-05,0.0017615,80,13,-67,0.139784946236559
"72","bilfalshort","bil fal short","bill falls short",3,0.0005598,-0.0008429,22,2,-20,0.0833333333333333
"73","billiondeficit","billion deficit","billion deficit",2,0.0013769,-0.0011385,126,38,-88,0.231707317073171
"74","billiondollar","billion dollar","billions of dollars",2,0.019863,-0.0238543,817,355,-462,0.302901023890785
"75","billiondollartax","billion dollar tax","billions of dollars in tax",3,0.0005125,-0.0007618,26,2,-24,0.0714285714285714
"76","billiontax","billion tax","billion in tax",2,0.0039451,-0.0038963,295,67,-228,0.185082872928177
"77","billiontaxbreak","billion tax break","billion in tax breaks",3,0.0017871,-0.002681,51,2,-49,0.0377358490566038
"78","billiontaxcut","billion tax cut","billion in tax cuts",3,0.002083,-0.0023968,185,10,-175,0.0512820512820513
"79","billiontradedeficit","billion trade deficit","billion trade deficit",3,0.000468,-0.0005562,103,6,-97,0.055045871559633
"80","birthabortion","birth abortion","birth abortion",2,1.6e-06,0.0002554,5,32,27,0.864864864864865
"81","birthcontrol","birth control","birth control",2,0.000503,-0.0007338,45,4,-41,0.0816326530612245
"82","blackcaucu","black caucu","black caucus",2,0.0124203,-0.0208221,206,8,-198,0.0373831775700935
"83","blessamerica","bless america","bless america",2,-0.0009115,0.0027658,12,54,42,0.818181818181818
"84","blockgrant","block grant","block grant",2,0.0048867,-0.0052126,243,92,-151,0.274626865671642
"85","bloodstemcel","blood stem cel","blood stem cells",3,3.69e-05,0.0008384,16,73,57,0.820224719101124
"86","bodyarmor","body armor","body armor",2,0.0009991,-0.0002759,107,31,-76,0.22463768115942
"87","borderpatrol","border patrol","border patrol",2,-0.001164,0.0102431,164,315,151,0.657620041753653
"88","bordersecurity","border security","border security",2,0.0003811,0.0089534,154,334,180,0.684426229508197
"89","borrowmoney","borrow money","borrow money",2,5.82e-05,0.0016348,140,34,-106,0.195402298850575
"90","bottomline","bottom line","bottom line",2,0.0063711,-0.0059485,442,203,-239,0.314728682170543
"91","boygirlclub","boy girl club","boys and girls clubs",3,-3.48e-05,0.0003902,32,5,-27,0.135135135135135
"92","boyscout","boy scout","boy scouts",2,-0.0040053,0.0130684,69,285,216,0.805084745762712
"93","boyscoutamerica","boy scout america","boy scouts of america",3,-0.0013449,0.0041483,22,91,69,0.805309734513274
"94","breakrule","break rule","break the rules",2,0.0004134,-0.0004301,120,12,-108,0.0909090909090909
"95","bringtroop","bring troop","bring our troops",2,0.002246,-0.0031651,159,23,-136,0.126373626373626
"96","bringtroophome","bring troop home","bring our troops home",3,0.0022806,-0.0033264,152,21,-131,0.121387283236994
"97","brownboardeducation","brown board education","brown v board of education",3,0.0010125,-0.0014345,46,12,-34,0.206896551724138
"98","budgetcommitte","budget committe","budget committee",2,-0.0008936,0.0062567,180,329,149,0.646365422396857
"99","budgetcut","budget cut","budget cuts",2,0.0051961,-0.0068328,351,33,-318,0.0859375
"100","budgetdeficit","budget deficit","budget deficit",2,0.0036256,-0.0029935,376,86,-290,0.186147186147186
"101","budgetoffice","budget office","budget office",2,0.0026334,-0.0014276,288,144,-144,0.333333333333333
"102","budgetpolicyprioriti","budget policy prioriti","budget and policy priorities",3,0.0003434,-0.0005307,25,1,-24,0.0384615384615385
"103","budgetprioriti","budget prioriti","budget priorities",2,0.0008168,-0.0011066,51,5,-46,0.0892857142857143
"104","budgetproposal","budget proposal","budget proposal",2,0.0013383,-0.0008925,122,35,-87,0.222929936305732
"105","budgetsurplu","budget surplu","budget surplus",2,0.0004475,-0.0003099,51,2,-49,0.0377358490566038
"106","budgetsurpluse","budget surpluse","budget surpluses",2,0.0002975,-0.0002606,43,4,-39,0.0851063829787234
"107","buleye","bul eye","bull eye",2,0.000617,-0.0008542,58,6,-52,0.09375
"108","bunkerbuster","bunker buster","bunker buster",2,0.0005608,-0.0008425,98,0,-98,0
"109","bushadministrationbu","bush administration budget","bush administration budget",3,0.0002707,-0.0003359,19,1,-18,0.05
"110","bushbudget","bush budget","bush budget",2,0.0013002,-0.0017185,74,12,-62,0.13953488372093
"111","bushplan","bush plan","bush plan",2,0.0004385,-0.0005717,42,4,-38,0.0869565217391304
"112","bushwhitehouse","bush white house","bush white house",3,0.0003432,-0.000273,38,4,-34,0.0952380952380952
"113","businessmeeting","business meeting","business meeting",2,-0.0001865,0.0006971,8,59,51,0.880597014925373
"114","businessowner","business owner","business owners",2,0.0034723,0.0020428,154,250,96,0.618811881188119
"115","busyweek","busy week","busy week",2,-0.0001547,0.0004505,2,41,39,0.953488372093023
"116","buyamerican","buy american","buy american",2,-0.0006041,0.0023331,106,18,-88,0.145161290322581
"117","buyamericanproduct","buy american product","buy american products",3,-0.000233,0.0007133,35,2,-33,0.0540540540540541
"118","buygun","buy gun","buy guns",2,0.0008633,-0.0010163,82,4,-78,0.0465116279069767
"119","calibersniperrifle","caliber sniper rifle","caliber sniper rifles",3,0.0003584,-0.0004902,56,0,-56,0
"120","californiasupremecou","california supreme court","california supreme court",3,-0.0004152,0.0017915,43,94,51,0.686131386861314
"121","camppendleton","camp pendleton","camp pendleton",2,0.0002036,9.33e-05,61,10,-51,0.140845070422535
"122","cardcompani","card compani","card companies",2,0.000886,-0.0008562,227,27,-200,0.106299212598425
"123","carddebt","card debt","card debt",2,0.0004899,-0.0005163,78,15,-63,0.161290322580645
"124","carecut","care cut","care cuts",2,0.000389,-0.0005323,44,1,-43,0.0222222222222222
"125","careeducation","care education","care education",2,0.0007114,-6.36e-05,96,20,-76,0.172413793103448
"126","carefunding","care funding","care funding",2,0.0005393,-0.0003868,62,11,-51,0.150684931506849
"127","careprescriptiondrug","care prescription drug","care and prescription drugs",3,3.63e-05,-1.27e-05,19,0,-19,0
"128","cashflow","cash flow","cash flow",2,-0.0004145,0.0015161,6,36,30,0.857142857142857
"129","celline","cel line","cell lines",2,0.0006129,5.58e-05,42,129,87,0.754385964912281
"130","celresearch","cel research","cell research",2,0.0018761,0.004562,227,400,173,0.637958532695375
"131","celstemcel","cel stem cel","cells and stem cells",3,0.0001157,-0.000102,2,16,14,0.888888888888889
"132","centbudgetpolicy","cent budget policy","center on budget and policy",3,0.0003434,-0.0005307,25,1,-24,0.0384615384615385
"133","centdiseasecontrol","cent disease control","centers for disease control",3,0.001831,-0.0017745,114,48,-66,0.296296296296296
"134","centralamerican","central american","central american",2,0.0057506,-0.0033949,649,261,-388,0.286813186813187
"135","centralamericanfre","central american fre","central american free",3,0.0024407,-0.0022535,353,102,-251,0.224175824175824
"136","changeheart","change heart","change hearts",2,0.0003842,-0.0002856,18,72,54,0.8
"137","changeheartmind","change heart mind","change hearts and minds",3,0.0002959,-0.0003434,2,66,64,0.970588235294118
"138","changerule","change rule","change the rules",2,0.0018297,-0.0011241,342,70,-272,0.169902912621359
"139","changesenaterule","change senate rule","change the senate rules",3,0.0001286,-3.21e-05,50,14,-36,0.21875
"140","checkbal","check bal","checks and balances",2,0.0024061,-0.0014065,483,94,-389,0.162911611785095
"141","chemicplant","chemic plant","chemical plants",2,0.0035042,-0.0053246,109,20,-89,0.155038759689922
"142","chemicplantsecurity","chemic plant security","chemical plant security",3,0.0008024,-0.0012992,17,0,-17,0
"143","chiefjudge","chief judge","chief judge",2,-0.0001827,0.0008257,19,68,49,0.781609195402299
"144","chiefjustice","chief justice","chief justice",2,-0.0030805,0.0131357,310,523,213,0.627851140456183
"145","chiefjusticerehnquis","chief justice rehnquist","chief justice rehnquist",3,0.0004018,0.0006097,66,135,69,0.671641791044776
"146","chiefjusticewilliam","chief justice william","chief justice william",3,-0.0001148,0.0007522,12,41,29,0.773584905660377
"147","chiefnavaloperation","chief naval operation","chief of naval operations",3,-1.06e-05,0.0002933,3,28,25,0.903225806451613
"148","childcareassistance","child care assistance","child care assistance",3,0.0004272,-0.0007011,22,0,-22,0
"149","childlabor","child labor","child labor",2,0.0012343,-0.0015241,145,8,-137,0.0522875816993464
"150","childlaborlaw","child labor law","child labor laws",3,0.0002441,-0.0002265,29,2,-27,0.0645161290322581
"151","childleft","child left","child left",2,0.0052213,-0.0061849,367,155,-212,0.296934865900383
"152","childleftact","child left act","child left behind act",3,0.0011056,-0.0010813,100,38,-62,0.27536231884058
"153","childsupport","child support","child support",2,0.006295,-0.0084329,418,101,-317,0.194605009633911
"154","childsupportenforcem","child support enforcement","child support enforcement",3,0.0021646,-0.0031158,117,15,-102,0.113636363636364
"155","childsupportprogram","child support program","child support programs",3,0.0002272,-0.0002237,26,0,-26,0
"156","childrenfamili","children famili","children and families",2,0.0019679,-0.0016929,159,54,-105,0.253521126760563
"157","childrenlivepoverty","children live poverty","children live in poverty",3,0.0004452,-0.0007498,19,0,-19,0
"158","chinajapan","china japan","china and japan",2,-1.5e-06,0.0004607,66,4,-62,0.0571428571428571
"159","ciaagent","cia agent","cia agent",2,0.0020449,-0.0031924,176,13,-163,0.0687830687830688
"160","circuitcourt","circuit court","circuit court",2,2.93e-05,0.0049299,268,425,157,0.613275613275613
"161","circuitcourtappeal","circuit court appeal","circuit court of appeals",3,-0.0006712,0.003478,106,196,90,0.649006622516556
"162","circuitcourtjudge","circuit court judge","circuit court judge",3,-0.0002247,0.0008123,20,50,30,0.714285714285714
"163","circuitjudge","circuit judge","circuit judge",2,-0.0001255,0.0010264,49,121,72,0.711764705882353
"164","citysanfrancisco","city san francisco","city of san francisco",3,0.0003881,-0.0006632,20,0,-20,0
"165","civilright","civil right","civil rights",2,0.0240155,-0.0308522,1042,409,-633,0.281874569262578
"166","civilrightmovement","civil right movement","civil rights movement",3,0.0066094,-0.0082257,180,67,-113,0.271255060728745
"167","civilrightorganizati","civil right organization","civil rights organizations",3,0.0004166,-0.0006714,21,1,-20,0.0454545454545455
"168","civilrightprotection","civil right protection","civil rights protections",3,0.0013694,-0.0022156,46,2,-44,0.0416666666666667
"169","classaction","class action","class action",2,-0.0066652,0.0240842,472,945,473,0.666901905434016
"170","classactionfairness","class action fairness","class action fairness",3,-0.0006249,0.002191,27,106,79,0.796992481203007
"171","classactionreform","class action reform","class action reform",3,-0.0005144,0.001884,21,72,51,0.774193548387097
"172","cleanairact","clean air act","clean air act",3,0.0010724,-0.000792,122,46,-76,0.273809523809524
"173","cleandrinkingwater","clean drinking water","clean drinking water",3,0.0004015,-0.0006399,19,1,-18,0.05
"174","cleanenergy","clean energy","clean energy",2,-0.0002472,0.0013386,42,101,59,0.706293706293706
"175","cleanwateract","clean water act","clean water act",3,0.0016744,-0.0023695,78,20,-58,0.204081632653061
"176","climatechange","climate change","climate change",2,0.0005805,0.0018472,206,319,113,0.607619047619048
"177","clinicsocialworker","clinic social worker","clinical social workers",3,0.0002921,-0.0002904,27,2,-25,0.0689655172413793
"178","closeddoor","closed door","closed doors",2,-0.0012336,0.0038166,117,20,-97,0.145985401459854
"179","coalitionforce","coalition force","coalition forces",2,0.0003011,0.0007352,19,74,55,0.795698924731183
"180","coalitionprovisional","coalition provisional authority","coalition provisional authority",3,0.0003652,-0.0003029,46,9,-37,0.163636363636364
"181","collegecost","college cost","college costs",2,0.0003468,-0.0004386,38,2,-36,0.05
"182","collegeeducation","college education","college education",2,0.0010786,-0.0005322,126,39,-87,0.236363636363636
"183","collegestudent","college student","college students",2,0.002641,-0.0030225,192,66,-126,0.255813953488372
"184","collegetuition","college tuition","college tuition",2,0.0011165,-0.0015458,97,20,-77,0.170940170940171
"185","columbiarivergorge","columbia river gorge","columbia river gorge",3,0.0010858,-0.000862,23,2,-21,0.08
"186","committebusinessentr","committe business entrepreneurship","committee on small business and entrepreneurship",3,0.0002044,-0.0002058,8,33,25,0.804878048780488
"187","committecommercescie","committe commerce science","committee on commerce science",3,-0.0001964,0.0011532,27,95,68,0.778688524590164
"188","committeforeignrelat","committe foreign relation","committee on foreign relations",3,-0.0004057,0.0016074,30,111,81,0.787234042553192
"189","committegovernmentre","committe government reform","committee on government reform",3,0.0017059,0.0005542,64,103,39,0.616766467065868
"190","committeholdhearing","committe hold hearing","committee to hold hearings",3,7.29e-05,-8.36e-05,16,0,-16,0
"191","committehomelandsecu","committe homeland security","committee on homeland security",3,0.0027616,-0.0002632,123,195,72,0.613207547169811
"192","commonsensereform","common sense reform","common sense reforms",3,-0.0002872,0.0010992,3,18,15,0.857142857142857
"193","commonlyprescribeddr","commonly prescribed drug","commonly prescribed drugs",3,0.00013,6.93e-05,0,15,15,1
"194","communitydevelopment","community development","community development",2,0.003848,-0.0036139,205,73,-132,0.262589928057554
"195","communitydevelopmen2","community development block","community development block",3,0.0027437,-0.0033818,107,39,-68,0.267123287671233
"196","communityorientedpol","community oriented policing","community oriented policing",3,0.0001957,-6e-07,27,3,-24,0.1
"197","confercivilright","confer civil right","conference on civil rights",3,0.0001514,-0.0002356,23,2,-21,0.08
"198","congresswhitehouse","congress white house","congress and the white house",3,0.0005358,-0.0001886,47,9,-38,0.160714285714286
"199","congressionalblackca","congressional black caucu","congressional black caucus",3,0.0122676,-0.0206314,202,6,-196,0.0288461538461538
"200","congressionalbudgeto","congressional budget office","congressional budget office",3,0.0026075,-0.0015185,276,140,-136,0.336538461538462
"201","congressionalhispani","congressional hispanic caucu","congressional hispanic caucus",3,0.0045068,-0.0070369,54,1,-53,0.0181818181818182
"202","consentdecre","consent decre","consent decrees",2,-4.08e-05,0.0002699,1,65,64,0.984848484848485
"203","consumerfederationam","consumer federation america","consumer federation of america",3,-2.62e-05,0.0002841,31,2,-29,0.0606060606060606
"204","consumerproductsafet","consumer product safety","consumer product safety",3,0.0001772,-0.0002055,30,1,-29,0.032258064516129
"205","consumerprotection","consumer protection","consumer protection",2,0.0014355,0.0002092,174,72,-102,0.292682926829268
"206","cordblood","cord blood","cord blood",2,0.0037156,-0.0022143,175,299,124,0.630801687763713
"207","cordbloodstem","cord blood stem","cord blood stem",3,-0.0002456,0.0012925,13,70,57,0.843373493975904
"208","corporationpublicbro","corporation public broadcasting","corporation for public broadcasting",3,0.0023172,-0.0035294,99,12,-87,0.108108108108108
"209","costbillion","cost billion","cost billion",2,0.0012914,-5.81e-05,230,98,-132,0.298780487804878
"210","costnaturalga","cost natural ga","cost of natural gas",3,-0.0001714,0.0007109,10,37,27,0.787234042553192
"211","costprescriptiondrug","cost prescription drug","cost of prescription drugs",3,0.0006777,-0.0005323,84,28,-56,0.25
"212","costtaxcut","cost tax cut","cost of the tax cuts",3,0.0003691,-0.0005315,36,1,-35,0.027027027027027
"213","costwar","cost war","cost of the war",2,0.0017316,-0.0023725,137,12,-125,0.0805369127516778
"214","countynorthcarolina","county north carolina","county north carolina",3,-5.74e-05,0.000483,1,14,13,0.933333333333333
"215","courtappeal","court appeal","court of appeals",2,2.6e-05,0.0043182,293,401,108,0.577809798270893
"216","courtjudge","court judge","court judge",2,-0.0003307,0.0028369,123,208,85,0.628398791540785
"217","createjob","create job","create jobs",2,0.0009914,0.005082,213,317,104,0.59811320754717
"218","creditcard","credit card","credit card",2,0.0033213,-0.002094,827,179,-648,0.1779324055666
"219","creditcardcompani","credit card compani","credit card companies",3,0.0008862,-0.0008659,226,27,-199,0.106719367588933
"220","creditcarddebt","credit card debt","credit card debt",3,0.0004899,-0.0005163,78,15,-63,0.161290322580645
"221","creditcardindustry","credit card industry","credit card industry",3,9.5e-05,5.42e-05,82,4,-78,0.0465116279069767
"222","creditcardissuer","credit card issuer","credit card issuers",3,0.0001988,-0.0002612,33,1,-32,0.0294117647058824
"223","crimelaw","crime law","crimes law",2,0.0002371,0.0001609,7,79,72,0.918604651162791
"224","currentsystem","current system","current system",2,-0.0029629,0.0101866,69,128,59,0.649746192893401
"225","customborderprotecti","custom border protection","customs and border protection",3,6.7e-05,0.0004981,18,41,23,0.694915254237288
"226","cutbenefit","cut benefit","cut benefits",2,0.0011685,-0.000829,159,39,-120,0.196969696969697
"227","cutbil","cut bil","cut bill",2,0.001163,-0.0010454,108,10,-98,0.0847457627118644
"228","cutbudget","cut budget","cut the budget",2,0.001469,-0.0016754,110,22,-88,0.166666666666667
"229","cutchildsupport","cut child support","cuts to child support",3,0.0006015,-0.0008015,41,0,-41,0
"230","cuteducation","cut education","cuts in education",2,0.0012813,-0.0016831,101,3,-98,0.0288461538461538
"231","cutfoodstamp","cut food stamp","cut food stamps",3,0.001059,-0.0015871,72,7,-65,0.0886075949367089
"232","cutfund","cut fund","cut funds",2,0.0006231,-0.000713,47,4,-43,0.0784313725490196
"233","cutfunding","cut funding","cut funding",2,0.003734,-0.0045133,176,22,-154,0.111111111111111
"234","cuthealth","cut health","cut health",2,0.00067,-0.0007644,71,6,-65,0.0779220779220779
"235","cuthealthcare","cut health care","cut health care",3,0.0004432,-0.0005247,54,4,-50,0.0689655172413793
"236","cutmedicaid","cut medicaid","cut medicaid",2,0.0033476,-0.0042971,265,25,-240,0.0862068965517241
"237","cutprogram","cut program","cut programs",2,0.0024152,-0.0031684,172,19,-153,0.0994764397905759
"238","cutsocialsecurity","cut social security","cut social security",3,0.0004274,-0.0005856,54,3,-51,0.0526315789473684
"239","cutspending","cut spending","cut spending",2,0.0001545,0.0014217,132,47,-85,0.262569832402235
"240","cutstudentaid","cut student aid","cuts to student aid",3,0.0003882,-0.0004911,26,1,-25,0.037037037037037
"241","cutstudentloan","cut student loan","cut student loans",3,0.001208,-0.0017894,57,1,-56,0.0172413793103448
"242","cuttaxcut","cut tax cut","cuts tax cuts",3,0.0003595,2.93e-05,62,14,-48,0.184210526315789
"243","cuttaxe","cut taxe","cut taxes",2,0.0017964,-0.0014553,147,52,-95,0.261306532663317
"244","cuttinghealthcare","cutting health care","cutting health care",3,0.0002219,-0.000277,24,1,-23,0.04
"245","datetime","date time","date the time",2,-0.0004976,0.0017403,6,163,157,0.964497041420118
"246","deathpenaltysystem","death penalty system","death penalty system",3,0.0001004,-0.0001474,16,0,-16,0
"247","deathtax","death tax","death tax",2,-0.0073482,0.0245246,35,365,330,0.9125
"248","deathtaxrepeal","death tax repeal","death tax repeal",3,-0.0009385,0.0027223,0,37,37,1
"249","deepseacoral","deep sea coral","deep sea corals",3,9.31e-05,-0.0001021,16,0,-16,0
"250","defenseappropriation","defense appropriation bil","defense appropriations bill",3,0.0012823,-8.02e-05,211,113,-98,0.348765432098765
"251","defenseauthorization","defense authorization bil","defense authorization bill",3,0.0007493,0.0006726,285,167,-118,0.369469026548673
"252","defenseintelligencea","defense intelligence agency","defense intelligence agency",3,0.0016536,-0.0017547,12,37,25,0.755102040816326
"253","deficitreductionbil","deficit reduction bil","deficit reduction bill",3,-2.82e-05,0.0004108,14,79,65,0.849462365591398
"254","democratleader","democrat leader","democrat leader",2,-0.0004332,0.0012762,3,54,51,0.947368421052632
"255","democratrepublican","democrat republican","democrats and republicans",2,0.0056127,-0.0005773,479,239,-240,0.332869080779944
"256","democratwhitehouse","democrat white house","democrat in the white house",3,9.05e-05,-0.0001099,27,4,-23,0.129032258064516
"257","democraticleader","democratic leader","democratic leader",2,0.0013409,-0.0002094,221,451,230,0.671130952380952
"258","dependenceforeignoil","dependence foreign oil","dependence on foreign oil",3,0.0019585,-0.0004505,292,74,-218,0.202185792349727
"259","deputychiefstaff","deputy chief staff","deputy chief of staff",3,0.000571,-0.000718,36,6,-30,0.142857142857143
"260","developmentblockgran","development block grant","development block grant",3,0.002694,-0.0032148,111,44,-67,0.283870967741935
"261","disabledamericanvete","disabled american veteran","disabled american veterans",3,-3.9e-05,0.000461,28,2,-26,0.0666666666666667
"262","diseasecontrolpreven","disease control prevention","disease control and prevention",3,0.0007203,-0.0007372,62,15,-47,0.194805194805195
"263","districtjudge","district judge","district judge",2,-0.000371,0.0015026,30,76,46,0.716981132075472
"264","dividendtaxcut","dividend tax cut","dividend tax cuts",3,0.0007586,-0.0010548,35,2,-33,0.0540540540540541
"265","dollartaxcut","dollar tax cut","dollars in tax cuts",3,0.0004376,-0.000672,30,1,-29,0.032258064516129
"266","domesticviolence","domestic violence","domestic violence",2,0.010106,-0.0091666,508,209,-299,0.291492329149233
"267","domesticviolencesexu","domestic violence sexual","domestic violence and sexual",3,0.0007715,-0.0007805,53,9,-44,0.145161290322581
"268","drmartinluther","dr martin luther","dr martin luther",3,0.0020552,-0.002927,66,19,-47,0.223529411764706
