<story>Hurricane Ike / Texas</story>
<start>20080913020018.667</start>
<end>20080913021735.333</end>
us | to hit | Houston , more striking moments 
we | 're told | is 
this | is really related | more 
I | 'm pull | the details 
a continuation of the storm | surges | Hurricane Ike 
this | is | the information director 
we | 're getting | this information 
they | have been trying to direct | resources 
the mayor | says | hundreds of homes 
We | are going to continue to follow | that story 
We | will check | you 
