<story>Campaign 2008 / Obama vs. McCain</story>
<start>20080911021456.000</start>
<end>20080911023822.000</end>
We | have | real problems 
We | will have | special coverage 
I | throw | the first punch 
I | throw | the last 
he | sounded off | what 
the pig | lipstick | remark 
Obama | says | Americans 
A new CNN poll | shows | it 
you | 're dealing | the economy 
we | are really talking | taxes 
McCain | says | Obama 
Obama | says | his challenger's tax breaks 
Who | is telling | the truth 
what | do | their actual plans 
us | clear up | the spin 
CNN's Joe Johns | joins | us 
polls | are suggesting | most Americans 
Barack Obama | will raise | taxes 
he | says | his plan 
what | is | the truth 
McCain | has | a simple message 
I | will cut | your taxes , period 
that | makes | him 
the Republicans | is | Obama 
What Obama | says | is 
he | would give | a tax cut 
who | make | more than $ 250,000 
Obama's plan | would allow | their taxes 
that side | is | the McCain plan 
just plain | helps | wealthy Americans 
The truth | is | McCain's plan 
the biggest tax cuts | would still go | the top wage-earners 
us | look | some real-world comparisons 
you | show | them 
the Obama plan | will cut | your taxes 
McCain | would give | you 
us | go up | an income bracket 
Obama | cuts | your taxes 
The big switch | starts happening | the upper brackets 
you | make | $ 227,000-$ 603,000 
the taxes | go | $ 12 
you | end up paying | Obama's plan 
you | get | a break of $ 7,871 
you | get | a break of just over $ 45,000 
We | have put | a link 
people | want to get | a closer look 
That | is | AC360.com 
You | can just follow | the links 
we | have got | new polls 
there | is | that whole lipstick business 
a lot | to cover | our " Strategy Session 
I | talked | CNN political contributor 
Obama today | accused | the McCain campaign of phony outrage 
( LAUGHTER ) | > | > COOPER 
he | being | he 
a question of aggressiveness | is | what 
the McCain campaign | gets up | every day 
we | distract | people 
what's | happened | their lives 
somebody | was going to think | something 
I | think | Senator Obama 
he | 's starting to do | some 
what | happened | the United States of America 
what | happened | people 
That | is | what 
the McCain people | get | they 
What kind of thing | can we use to distract | people's attention 
That | is | the key 
the McCain strategy | was when | they 
Obama | missed to bring | somebody 
that | will really excite | people 
that | is | change 
that | would reinforce | his message of change 
he | did | it 
he | did | it 
that | is | what 
that | is why | Obama 
I | have | no idea 
she | can do | anything 
we | 'll find | in due course 
McCain | has vowed to continue | the policies of this administration 
He | says | he 
Bush | agree | every single big thing 
We | have | a $ 407 billion budget deficit 
There | is | a story today 
I | know | this 
there | is | cozy relationship 
there | will be | some other thing 
what | happened | their country 
what | happened | their lives 
you | might want to tell | him 
he | 's been focused | Sarah 
He | has been driving | the argument 
I | welcome | that 
that | is | the 
You | cannot blame | McCain 
McCain | has run | a smart , wise campaign 
He | 's energized | his base 
He | 's got | excitement 
America | loves | Sarah Palin 
they | 're going to vote | the ticket 
I | 'd ask | folks 
I | think | I 
I | asked | you 
What | is | this election 
people | said | it 
it | 's going to be | an election 
it | seems to be | just kind 
what | 's going to decide | this 
you | have | momentum 
people | get | very much tense 
they | start saying | things 
that | is where | the nitpicking 
what McCain | decided | is 
the big issue | is | change 
I | 've been | Washington 
I | 've done | some 
I | 'm going to do | more 
I | 'm going to prove | it 
who | has | an incredible record 
Obama | has ever accomplished | his entire career 
She | has | a record of change 
that | is | what 
it | 's coming down | to 
Who | will make | a difference 
you | were advising | the McCain campaign 
you | allow ever | Sarah Palin 
it | is | the extent 
I | do n't know | any campaign 
presidential candidate | had yet to talk | a reporter 
she | 's going to talk | one 
I | understand | it 
I | think | she 
two days | talking | him 
She | 's going to talk | Charlie Gibson 
she | 's not taking | any questions 
she | 'll have | her 
this | is | the key 
you | change | your strategy 
You | do n't change | it 
I | agree | she 
She | 'll do | it 
which | gives | her 
She | 'll do | some others 
we | 're picking | votes 
we | 're not going to listen | the Obama campaign 
the media | change | our strategy 
I | like | that 
McCain | keeps insisting | the fundamentals 
He | has n't said | months 
I | 'll tell | you 
he | said | the fundamentals 
He | said | the fundamentals 
he | has n't proposed | a single things 
He | said | he 
George W. Bush | agree | every big thing 
That | is really | what 
change | do you want | more of the same 
