<story>Campaign 2008 / Obama / Vice President</story>
<start>20080823020129.333</start>
<end>20080823022036.714</end>
we | have breaking | news 
he | did n't seek | President Clinton's advice 
He | is actually | the guy 
I | think picked | the best vice president 
You | would think maybe | you 
I | was going to go | the moon 
I | would call | Neil Armstrong 
He | 's done | it 
( LAUGHTER ) | > | > KING 
we | may be leaning | a little 
us | keep leaning | Biden's way 
Senator Obama | said | that interview 
he | wanted | somebody 
who | would challenge | him 
Senator Biden | challenged | him 
It | would be | a pretty big step 
it | would be | a big step 
Joe Biden | see | his comments 
It | reminds | me of the George Bush 
the father | talking | voodoo economics 
it | haunted | him 
you | pick | a former rival 
there | are | so many things 
Paul | alluded | to 
They | listed | his net worth 
he | is | Catholic 
he | will be | a very good attack dog 
He | will be | that role 
generally | is set aside | the vice presidential candidate 
he | has | a razor-sharp wit 
that | can just slice right | things 
it | is | something 
we | could get so surprised | this 
we | have talked | the various assets and deficits of the candidates 
there | is | a lot 
I | will bet | bottom dollar 
he | knows | how many houses 
( LAUGHTER ) | > | > KING 
I | want to remind | our viewers 
there | is | a reason 
we | 're talking | Joe Biden 
that | is | CNN 
they | are not going to be | his running mate 
which | is why | we 
us | continue | the conversation 
he | is | someone 
he | was | the debates 
he | was | the debates 
he | would be | a pretty good attack dog 
he | ran | president 
that | was | such a good campaign 
it | shows | he 
I | think | you 
I | think | he 
He | did n't get | very many delegates 
I | think | that 
he | constructed | this 
he | is | really one of the great orators 
we | 're | a treat 
He | constructed | the world of September 12 
he | were | president 
it | would have been | George W. Bush's 
It | appealed | unity 
it | appealed | energy independence 
Senator Obama | gave | a foreign policy speech 
the first third of that speech | read | a lot 
that | is when | I 
I | think | Barack 
it | is | a very good sign 
you | see | somebody 
you | have run | start 
that | shows | Senator Obama 
he | says | he 
who | will challenge | him 
we | need to leave | it 
We | will continue to check | with everyone 
we | continue | our reporting tonight 
the conversation | is | way 
just | go | our new Web site 
That | is where | you 
She | is | > KING 
that | is | a rare shot 
That | is | Senator Joe Biden's driveway 
CNN | has confirmed | both Tim Kaine 
Candy | said | the break 
he | is | a blue-collar senator 
He | takes | Amtrak 
He | has got | a class 
The dean | says | he 
he | make | an exception tomorrow 
the ticket | would bring | a great deal of experience 
John McCain | brings | the top of the GOP slate 
Barack Obama | could choose | a running mate 
who | reinforces | his message of change 
We | are going to fundamentally bring | about change 
Barack Obama | could choose | a running mate 
who | reinforces | his message of change 
We | are going to fundamentally bring | about change 
Women | are often seen | political outsiders 
Tim Kaine | got | this thing 
Obama's limited experience | seems to be | a weakness 
What process | would you use to pull | the experience 
He | could go | Senator Hillary Clinton 
who | 's been | Washington 
Joe Biden | has been | the Senate 
I | have joined | people 
Joe Biden | to increase | $ 1 billion of investment 
Obama | to do | both 
he | has | people 
The key | bringing | change 
Washington | is going to be to get | some good people 
Chet Edwards | has been | Congress 
He | is | a moderate Democrat 
who | supports | President Bush 
We | have had | a lot of disagreements 
he | is | President Bush's congressman 
Senator Obama | talks | a lot 
bipartisanship | ending | the partisan gridlock 
That | would be | a change 
that | was | the big question 
he | considered | his running mate 
We | 're getting | closer 
We | have | a lot of new clues 
