<story>Campaign 2008 / Obama vs. McCain / Wall Street Crisis / A Discussion</story>
<start>20080923021418.500</start>
<end>20080923023136.000</end>
We | were talking | change 
they | 're still talking | all the plans 
stuff | is | the window 
We | 're talking | $ 700 billion here 
it | changes | the playing field 
we | may need to put | a lot of people 
I | do think | they 
I | think | Obama 
he | has | people 
John McCain | has essentially been | a deregulator 
I | want to get | Ed 
you | think | Obama 
we | asked | McCain 
I | want to bring in | Jennifer 
Obama | has | a 10-point lead 
it | comes | the economy 
that | is mainly | voters 
I | think | it 
I | think | you 
McCain | has made | some very serious mistakes 
it | happened | it 
the year | leading | up 
we | were | good economic circumstances 
McCain | was calling | the homeowners 
he | was | a deregulator 
who | is now having to favor | this legislation 
the voters | are demanding | it 
I | have | a tremendous amount of respect 
I | think | his campaign operatives 
that | is why | you 
it | 's allowing | Obama 
That | was | McCain's playbook 
Obama | is articulating | it 
he | has given | probably at least 
he | gave | more specifics 
he | would want overseeing | whatever 
he | talked | a Mike Bloomberg 
he | talked | Warren Buffett 
he | talked | Mitt Romney 
What | do | you 
Obama | should have used | his role 
He | should have sat | the leadership of his party 
he | is | the guy 
he | wins | this thing 
he | has got to make | it 
You | have not seen | any presence 
You | have not seen | him 
He | should have called | a meeting 
he | would have looked | a leader 
The other side is, the first guy that steps up here and says, "Listen, I don't know what I can do; we're in a crisis; what I'm -- what I'm talking about is leadership, and part of leadership is being honest with the American public," I think that will give whoever does that a real advantage. 
I | do n't know | what 
The other side is, the first guy that steps up here and says, "Listen, I don't know what I can do; we're in a crisis; what I'm -- what I'm talking about is leadership, and part of leadership is being honest with the American public," I think that will give whoever does that a real advantage. 
we | 're | a crisis 
The other side is, the first guy that steps up here and says, "Listen, I don't know what I can do; we're in a crisis; what I'm -- what I'm talking about is leadership, and part of leadership is being honest with the American public," I think that will give whoever does that a real advantage. 
I | 'm talking | is leadership 
The other side is, the first guy that steps up here and says, "Listen, I don't know what I can do; we're in a crisis; what I'm -- what I'm talking about is leadership, and part of leadership is being honest with the American public," I think that will give whoever does that a real advantage. 
part of leadership | is being | the American public 
The other side is, the first guy that steps up here and says, "Listen, I don't know what I can do; we're in a crisis; what I'm -- what I'm talking about is leadership, and part of leadership is being honest with the American public," I think that will give whoever does that a real advantage. 
I | think | that 
The other side is, the first guy that steps up here and says, "Listen, I don't know what I can do; we're in a crisis; what I'm -- what I'm talking about is leadership, and part of leadership is being honest with the American public," I think that will give whoever does that a real advantage. 
whoever | does | a real advantage 
It | does seem | that 
the world | has changed | three weeks 
them | to still be talking | all the programs 
the money | may seem | less 
Pick two | > | KLEIN 
They | 're | the heat of a political campaign 
Republicans | are n't going to abandon | McCain 
I | do n't agree | that 
I | have got to jump | there 
I | think | McCain 
a real problem | solidifying | his base 
that | is | part of what 
I | think | we 
that | 's | a Christmas tree 
that | 's | John McCain 
You | know | John McCain 
I | know | John McCain 
that | 's | John McCain 
I | think | he 
I | think | he 
Republicans | do n't want to vote | Barack Obama 
who | is | part of the Republican leadership 
that | is just | the wrong signal 
You | need | base 
part of what | is happening | is 
young voters | are registering | bigger numbers 
I | saw | it 
I | want | Ed 
McCain | has | an advantage 
whoever | gets | the independents 
we | 're going to leave | it 
the blame game | heating | up 
Both candidates | accusing | each other 
who | 's telling | the truth 
